Starting client at 10.0.0.22:1267 with timeout:10
My IP address is 10.0.0.22Skipped Seq from 13250 to 13256
Skipped Seq from 13257 to 13259
Skipped Seq from 13259 to 13261
Skipped Seq from 13261 to 13268
Skipped Seq from 13268 to 13273
Skipped Seq from 13276 to 13282
Skipped Seq from 13282 to 13284
Skipped Seq from 13286 to 13291
Skipped Seq from 13291 to 13296
Skipped Seq from 13296 to 13298
Skipped Seq from 13299 to 13304
Skipped Seq from 13309 to 13311
Skipped Seq from 13313 to 13315
Skipped Seq from 13315 to 13317
Skipped Seq from 13319 to 13321
Skipped Seq from 13325 to 13327
Skipped Seq from 13330 to 13332
Skipped Seq from 13335 to 13356
Skipped Seq from 13356 to 13361
Skipped Seq from 13361 to 13363
Skipped Seq from 13363 to 13369
Skipped Seq from 13370 to 13376
Skipped Seq from 13376 to 13378
Skipped Seq from 13380 to 13382
Skipped Seq from 13382 to 13384
Skipped Seq from 13384 to 13386
Skipped Seq from 13386 to 13388
Skipped Seq from 13389 to 13391
Skipped Seq from 13398 to 13400
Skipped Seq from 13406 to 13410
Skipped Seq from 13412 to 13414
Skipped Seq from 13417 to 13419
Skipped Seq from 13425 to 13427
Skipped Seq from 13429 to 13432
Skipped Seq from 13432 to 13434
Skipped Seq from 13440 to 13442
Skipped Seq from 13448 to 13450
Skipped Seq from 13455 to 13457
Skipped Seq from 13458 to 13460
Skipped Seq from 13460 to 13471
Skipped Seq from 13472 to 13477
Skipped Seq from 13480 to 13498
Skipped Seq from 13498 to 13500
Skipped Seq from 13500 to 13508
Skipped Seq from 13508 to 13510
Skipped Seq from 13510 to 13520
Skipped Seq from 13521 to 13531
Skipped Seq from 13531 to 13536
Skipped Seq from 13537 to 13539
Skipped Seq from 13544 to 13546
Skipped Seq from 13548 to 13551
Skipped Seq from 13551 to 13558
Skipped Seq from 13558 to 13560
Skipped Seq from 13564 to 13566
Skipped Seq from 13570 to 13572
Skipped Seq from 13577 to 13579
Skipped Seq from 13584 to 13587
Skipped Seq from 13587 to 13589
Skipped Seq from 13592 to 13594
Skipped Seq from 13595 to 13598
Skipped Seq from 13599 to 13601
Skipped Seq from 13602 to 13605
Skipped Seq from 13606 to 13608
Skipped Seq from 13611 to 13613
Skipped Seq from 13613 to 13620
Skipped Seq from 13620 to 13627
Skipped Seq from 13629 to 13635
Skipped Seq from 13635 to 13637
Skipped Seq from 13638 to 13643
Skipped Seq from 13643 to 13645
Skipped Seq from 13648 to 13655
Skipped Seq from 13655 to 13663
Skipped Seq from 13663 to 13676
Skipped Seq from 13676 to 13680
Skipped Seq from 13683 to 13689
Skipped Seq from 13691 to 13693
Skipped Seq from 13693 to 13695
Skipped Seq from 13696 to 13698
Skipped Seq from 13699 to 13705
Skipped Seq from 13706 to 13716
Skipped Seq from 13716 to 13725
Skipped Seq from 13725 to 13733
Skipped Seq from 13733 to 13736
Skipped Seq from 13744 to 13746
Skipped Seq from 13751 to 13753
Skipped Seq from 13758 to 13760
Skipped Seq from 13762 to 13764
Skipped Seq from 13764 to 13767
Skipped Seq from 13767 to 13773
Skipped Seq from 13775 to 13783
Skipped Seq from 13785 to 13787
Skipped Seq from 13787 to 13791
Skipped Seq from 13791 to 13793
Skipped Seq from 13795 to 13800
Skipped Seq from 13800 to 13803
Skipped Seq from 13804 to 13806
Skipped Seq from 13809 to 13813
Skipped Seq from 13814 to 13817
Skipped Seq from 13817 to 13827
Skipped Seq from 13827 to 13836
Skipped Seq from 13836 to 13843
Skipped Seq from 13843 to 13845
Skipped Seq from 13847 to 13849
Skipped Seq from 13850 to 13859
Skipped Seq from 13860 to 13862
Skipped Seq from 13862 to 13867
Skipped Seq from 13870 to 13877
Skipped Seq from 13877 to 13883
Skipped Seq from 13890 to 13892
Skipped Seq from 13894 to 13896
Skipped Seq from 13896 to 13901
Skipped Seq from 13901 to 13903
Skipped Seq from 13903 to 13912
Skipped Seq from 13912 to 13914
Skipped Seq from 13914 to 13916
Skipped Seq from 13917 to 13920
Skipped Seq from 13920 to 13922
Skipped Seq from 13923 to 13925
Skipped Seq from 13925 to 13927
Skipped Seq from 13928 to 13930
Skipped Seq from 13931 to 13933
Skipped Seq from 13936 to 13939
Skipped Seq from 13941 to 13943
Skipped Seq from 13945 to 13947
Skipped Seq from 13951 to 13953
Skipped Seq from 13955 to 13959
Skipped Seq from 13959 to 13963
Skipped Seq from 13964 to 13971
Skipped Seq from 13971 to 13973
Skipped Seq from 13973 to 13975
Skipped Seq from 13977 to 13979
Skipped Seq from 13981 to 13984
Skipped Seq from 13985 to 13987
Skipped Seq from 13989 to 13994
Skipped Seq from 13994 to 13996
Skipped Seq from 13997 to 14003
Skipped Seq from 14003 to 14005
Skipped Seq from 14006 to 14014
Skipped Seq from 14017 to 14019
Skipped Seq from 14021 to 14023
Skipped Seq from 14031 to 14033
Skipped Seq from 14034 to 14038
Skipped Seq from 14038 to 14045
Skipped Seq from 14045 to 14047
Skipped Seq from 14047 to 14058
Skipped Seq from 14058 to 14060
Skipped Seq from 14060 to 14068
Skipped Seq from 14068 to 14077
Skipped Seq from 14078 to 14082
Skipped Seq from 14082 to 14084
Skipped Seq from 14084 to 14087
Skipped Seq from 14087 to 14092
Skipped Seq from 14092 to 14096
Skipped Seq from 14098 to 14100
Skipped Seq from 14101 to 14103
Skipped Seq from 14103 to 14106
Skipped Seq from 14107 to 14109
Skipped Seq from 14115 to 14117
Skipped Seq from 14119 to 14121
Skipped Seq from 14121 to 14123
Skipped Seq from 14123 to 14126
Skipped Seq from 14126 to 14130
Skipped Seq from 14130 to 14133
Skipped Seq from 14133 to 14141
Skipped Seq from 14142 to 14147
Skipped Seq from 14148 to 14155
Skipped Seq from 14159 to 14161
Skipped Seq from 14166 to 14168
Skipped Seq from 14173 to 14178
Skipped Seq from 14180 to 14182
Skipped Seq from 14182 to 14190
Skipped Seq from 14191 to 14193
Skipped Seq from 14194 to 14196
Skipped Seq from 14196 to 14201
Skipped Seq from 14201 to 14207
Skipped Seq from 14209 to 14211
Skipped Seq from 14211 to 14213
Skipped Seq from 14218 to 14220
Skipped Seq from 14220 to 14225
Skipped Seq from 14225 to 14228
Skipped Seq from 14228 to 14235
Skipped Seq from 14236 to 14241
Skipped Seq from 14241 to 14244
Skipped Seq from 14244 to 14255
Skipped Seq from 14255 to 14258
Skipped Seq from 14258 to 14260
Skipped Seq from 14264 to 14266
Skipped Seq from 14266 to 14269
Skipped Seq from 14269 to 14272
Skipped Seq from 14274 to 14277
Skipped Seq from 14278 to 14283
Skipped Seq from 14283 to 14288
Skipped Seq from 14291 to 14293
Skipped Seq from 14294 to 14301
Skipped Seq from 14301 to 14303
Skipped Seq from 14303 to 14306
Skipped Seq from 14306 to 14308
Skipped Seq from 14309 to 14312
Skipped Seq from 14314 to 14316
Skipped Seq from 14317 to 14319
Skipped Seq from 14319 to 14322
Skipped Seq from 14324 to 14331
Skipped Seq from 14331 to 14337
Skipped Seq from 14342 to 14347
Skipped Seq from 14348 to 14354
Skipped Seq from 14355 to 14357
Skipped Seq from 14357 to 14363
Skipped Seq from 14364 to 14372
Skipped Seq from 14372 to 14374
Skipped Seq from 14378 to 14380
Skipped Seq from 14380 to 14382
Skipped Seq from 14383 to 14385
Skipped Seq from 14389 to 14391
Skipped Seq from 14394 to 14397
Skipped Seq from 14397 to 14399
Skipped Seq from 14399 to 14401
Skipped Seq from 14401 to 14404
Skipped Seq from 14407 to 14410
Skipped Seq from 14411 to 14420
Skipped Seq from 14423 to 14425
Skipped Seq from 14429 to 14431
Skipped Seq from 14434 to 14437
Skipped Seq from 14437 to 14439
Number of times throttled: 3
Received: 13786 / 14443 packets
Start time: 1332836441.948482
End time: 1332836495.840153
Duration: 53.891671
