Starting client at 10.0.0.21:1240 with timeout:10
My IP address is 10.0.0.21Skipped Seq from 3 to 6
Recovered out of order packet from 16 to 4
Recovered out of order packet from 17 to 5
Skipped Seq from 5871 to 5874
Skipped Seq from 5882 to 5898
Skipped Seq from 5910 to 5917
Skipped Seq from 5924 to 5936
Skipped Seq from 5957 to 5961
Skipped Seq from 5985 to 5987
Skipped Seq from 11722 to 11727
Skipped Seq from 11727 to 11733
Skipped Seq from 11733 to 11737
Skipped Seq from 11737 to 11740
Skipped Seq from 11747 to 11749
Skipped Seq from 11749 to 11752
Skipped Seq from 11752 to 11756
Skipped Seq from 11759 to 11761
Skipped Seq from 11763 to 11765
Skipped Seq from 11767 to 11769
Skipped Seq from 11771 to 11773
Skipped Seq from 11773 to 11775
Skipped Seq from 11777 to 11780
Skipped Seq from 11780 to 11782
Skipped Seq from 11783 to 11786
Skipped Seq from 11787 to 11789
Skipped Seq from 11790 to 11792
Skipped Seq from 11792 to 11797
Skipped Seq from 11797 to 11802
Skipped Seq from 11802 to 11805
Skipped Seq from 11814 to 11816
Skipped Seq from 11816 to 11818
Skipped Seq from 11820 to 11822
Skipped Seq from 11826 to 11828
Skipped Seq from 11828 to 11830
Skipped Seq from 11832 to 11836
Skipped Seq from 11836 to 11839
Skipped Seq from 11840 to 11842
Skipped Seq from 11851 to 11853
Skipped Seq from 11853 to 11859
Skipped Seq from 11859 to 11863
Skipped Seq from 11863 to 11870
Skipped Seq from 11872 to 11874
Skipped Seq from 11876 to 11879
Skipped Seq from 11879 to 11885
Skipped Seq from 11887 to 11892
Skipped Seq from 11892 to 11897
Skipped Seq from 11899 to 11902
Skipped Seq from 11902 to 11904
Skipped Seq from 11907 to 11909
Skipped Seq from 11910 to 11913
Skipped Seq from 11913 to 11916
Skipped Seq from 11917 to 11919
Skipped Seq from 11920 to 11922
Skipped Seq from 11922 to 11924
Skipped Seq from 11925 to 11927
Skipped Seq from 11927 to 11929
Skipped Seq from 11929 to 11932
Skipped Seq from 11932 to 11934
Skipped Seq from 11934 to 11936
Skipped Seq from 11937 to 11939
Skipped Seq from 11940 to 11946
Skipped Seq from 11946 to 11949
Skipped Seq from 11949 to 11952
Skipped Seq from 11952 to 11954
Skipped Seq from 11954 to 11957
Skipped Seq from 11957 to 11959
Skipped Seq from 11959 to 11962
Skipped Seq from 11962 to 11965
Skipped Seq from 11966 to 11970
Skipped Seq from 11978 to 11980
Skipped Seq from 11981 to 11983
Skipped Seq from 11983 to 11986
Skipped Seq from 11986 to 11988
Skipped Seq from 11993 to 11995
Skipped Seq from 11996 to 11998
Skipped Seq from 11998 to 12005
Skipped Seq from 12005 to 12007
Skipped Seq from 12008 to 12013
Skipped Seq from 12013 to 12016
Skipped Seq from 12016 to 12022
Skipped Seq from 12026 to 12028
Skipped Seq from 12030 to 12033
Skipped Seq from 12033 to 12035
Skipped Seq from 12036 to 12038
Skipped Seq from 12039 to 12043
Skipped Seq from 12043 to 12046
Skipped Seq from 12046 to 12048
Skipped Seq from 12048 to 12050
Skipped Seq from 12050 to 12052
Skipped Seq from 12054 to 12057
Skipped Seq from 12057 to 12059
Skipped Seq from 12059 to 12065
Skipped Seq from 12065 to 12067
Skipped Seq from 12071 to 12074
Skipped Seq from 12077 to 12079
Skipped Seq from 12079 to 12082
Skipped Seq from 12086 to 12088
Skipped Seq from 12092 to 12095
Skipped Seq from 12097 to 12099
Skipped Seq from 12100 to 12102
Skipped Seq from 12102 to 12105
Skipped Seq from 12108 to 12110
Skipped Seq from 12110 to 12115
Skipped Seq from 12118 to 12120
Skipped Seq from 12120 to 12122
Skipped Seq from 12122 to 12124
Skipped Seq from 12125 to 12127
Skipped Seq from 12127 to 12130
Skipped Seq from 12131 to 12133
Skipped Seq from 12134 to 12137
Skipped Seq from 12137 to 12141
Skipped Seq from 12142 to 12149
Skipped Seq from 12150 to 12152
Skipped Seq from 12156 to 12159
Skipped Seq from 12162 to 12166
Skipped Seq from 12167 to 12172
Skipped Seq from 12175 to 12177
Skipped Seq from 12179 to 12186
Skipped Seq from 12186 to 12188
Skipped Seq from 12188 to 12191
Skipped Seq from 12191 to 12196
Skipped Seq from 12199 to 12201
Skipped Seq from 12202 to 12205
Skipped Seq from 12209 to 12213
Skipped Seq from 12216 to 12218
Skipped Seq from 12218 to 12222
Skipped Seq from 12222 to 12224
Skipped Seq from 12229 to 12231
Skipped Seq from 12234 to 12236
Skipped Seq from 12236 to 12238
Skipped Seq from 12238 to 12243
Skipped Seq from 12244 to 12247
Skipped Seq from 12247 to 12250
Skipped Seq from 12258 to 12260
Skipped Seq from 12261 to 12263
Skipped Seq from 12263 to 12270
Skipped Seq from 12270 to 12276
Skipped Seq from 12277 to 12283
Skipped Seq from 12284 to 12287
Skipped Seq from 12287 to 12289
Skipped Seq from 12289 to 12293
Skipped Seq from 12293 to 12297
Skipped Seq from 12297 to 12304
Skipped Seq from 12307 to 12309
Skipped Seq from 12311 to 12317
Skipped Seq from 12317 to 12319
Skipped Seq from 12320 to 12322
Skipped Seq from 12325 to 12327
Skipped Seq from 12328 to 12332
Skipped Seq from 12332 to 12334
Skipped Seq from 12335 to 12337
Skipped Seq from 12337 to 12339
Skipped Seq from 12339 to 12341
Skipped Seq from 12342 to 12345
Skipped Seq from 12345 to 12347
Skipped Seq from 12349 to 12351
Skipped Seq from 12355 to 12357
Skipped Seq from 12357 to 12360
Skipped Seq from 12363 to 12365
Skipped Seq from 12366 to 12368
Skipped Seq from 12370 to 12374
Skipped Seq from 12374 to 12376
Skipped Seq from 12376 to 12378
Skipped Seq from 12379 to 12381
Skipped Seq from 12381 to 12385
Skipped Seq from 12386 to 12391
Skipped Seq from 12392 to 12397
Skipped Seq from 12397 to 12400
Skipped Seq from 12400 to 12404
Skipped Seq from 12404 to 12407
Skipped Seq from 12407 to 12409
Skipped Seq from 12409 to 12411
Skipped Seq from 12412 to 12414
Skipped Seq from 12419 to 12421
Skipped Seq from 12421 to 12425
Skipped Seq from 12425 to 12427
Skipped Seq from 12427 to 12429
Skipped Seq from 12432 to 12434
Skipped Seq from 12434 to 12438
Skipped Seq from 12438 to 12442
Skipped Seq from 12442 to 12446
Skipped Seq from 12446 to 12451
Skipped Seq from 12451 to 12454
Skipped Seq from 12454 to 12463
Skipped Seq from 12468 to 12472
Skipped Seq from 12475 to 12477
Skipped Seq from 12479 to 12482
Skipped Seq from 12486 to 12488
Skipped Seq from 12492 to 12494
Skipped Seq from 12495 to 12501
Skipped Seq from 12501 to 12504
Skipped Seq from 12504 to 12506
Skipped Seq from 12510 to 12513
Skipped Seq from 12513 to 12515
Skipped Seq from 12516 to 12518
Skipped Seq from 12519 to 12522
Skipped Seq from 12523 to 12527
Skipped Seq from 12527 to 12534
Skipped Seq from 12534 to 12536
Skipped Seq from 12536 to 12538
Skipped Seq from 12541 to 12551
Skipped Seq from 12551 to 12554
Skipped Seq from 12554 to 12556
Skipped Seq from 12556 to 12558
Skipped Seq from 12559 to 12562
Skipped Seq from 12562 to 12565
Skipped Seq from 12566 to 12569
Skipped Seq from 12570 to 12574
Skipped Seq from 12576 to 12578
Skipped Seq from 12578 to 12580
Skipped Seq from 12581 to 12583
Skipped Seq from 12583 to 12585
Skipped Seq from 12586 to 12592
Skipped Seq from 12592 to 12595
Skipped Seq from 12595 to 12601
Skipped Seq from 12602 to 12604
Skipped Seq from 12605 to 12607
Skipped Seq from 12608 to 12610
Skipped Seq from 12614 to 12616
Skipped Seq from 12616 to 12618
Skipped Seq from 12618 to 12620
Skipped Seq from 12620 to 12625
Skipped Seq from 12625 to 12628
Skipped Seq from 12628 to 12633
Skipped Seq from 12633 to 12635
Skipped Seq from 12638 to 12643
Skipped Seq from 12643 to 12646
Skipped Seq from 12646 to 12648
Skipped Seq from 12649 to 12652
Skipped Seq from 12653 to 12657
Skipped Seq from 12658 to 12660
Skipped Seq from 12660 to 12664
Skipped Seq from 12665 to 12667
Skipped Seq from 12667 to 12669
Skipped Seq from 12670 to 12674
Skipped Seq from 12674 to 12677
Skipped Seq from 12677 to 12688
Skipped Seq from 12688 to 12690
Skipped Seq from 12690 to 12693
Skipped Seq from 12694 to 12696
Skipped Seq from 12699 to 12702
Skipped Seq from 12703 to 12707
Skipped Seq from 12707 to 12709
Skipped Seq from 12709 to 12712
Skipped Seq from 12712 to 12714
Skipped Seq from 12717 to 12720
Skipped Seq from 12720 to 12723
Skipped Seq from 12725 to 12733
Skipped Seq from 12739 to 12741
Skipped Seq from 12742 to 12745
Skipped Seq from 12747 to 12749
Skipped Seq from 12749 to 12751
Skipped Seq from 12755 to 12757
Skipped Seq from 12762 to 12768
Skipped Seq from 12768 to 12771
Skipped Seq from 12771 to 12774
Skipped Seq from 12774 to 12780
Skipped Seq from 12784 to 12786
Skipped Seq from 12789 to 12791
Skipped Seq from 12791 to 12793
Skipped Seq from 12796 to 12800
Skipped Seq from 12802 to 12804
Skipped Seq from 12806 to 12809
Skipped Seq from 12810 to 12814
Skipped Seq from 12815 to 12817
Skipped Seq from 12822 to 12824
Skipped Seq from 12828 to 12830
Skipped Seq from 12837 to 12839
Skipped Seq from 12842 to 12844
Skipped Seq from 12851 to 12855
Skipped Seq from 12857 to 12859
Skipped Seq from 12859 to 12861
Skipped Seq from 12862 to 12864
Skipped Seq from 12867 to 12869
Skipped Seq from 12869 to 12871
Skipped Seq from 12874 to 12876
Skipped Seq from 12877 to 12879
Skipped Seq from 12880 to 12885
Skipped Seq from 12885 to 12888
Skipped Seq from 12890 to 12892
Skipped Seq from 12892 to 12894
Skipped Seq from 12894 to 12897
Skipped Seq from 12897 to 12902
Skipped Seq from 12902 to 12905
Skipped Seq from 12909 to 12914
Skipped Seq from 12914 to 12918
Skipped Seq from 12918 to 12921
Skipped Seq from 12924 to 12926
Skipped Seq from 12926 to 12930
Skipped Seq from 12936 to 12939
Skipped Seq from 12939 to 12941
Skipped Seq from 12942 to 12944
Skipped Seq from 12944 to 12946
Skipped Seq from 12946 to 12949
Skipped Seq from 12954 to 12956
Skipped Seq from 12958 to 12960
Skipped Seq from 12961 to 12963
Skipped Seq from 12967 to 12969
Skipped Seq from 12977 to 12979
Skipped Seq from 12979 to 12982
Skipped Seq from 12997 to 13003
Skipped Seq from 13007 to 13012
Skipped Seq from 13013 to 13016
Skipped Seq from 13018 to 13022
Skipped Seq from 13022 to 13024
Skipped Seq from 13024 to 13026
Skipped Seq from 13026 to 13029
Skipped Seq from 13036 to 13039
Skipped Seq from 13040 to 13048
Skipped Seq from 13048 to 13057
Skipped Seq from 13058 to 13062
Skipped Seq from 13064 to 13066
Skipped Seq from 13069 to 13071
Skipped Seq from 13071 to 13073
Skipped Seq from 13076 to 13078
Skipped Seq from 13079 to 13081
Skipped Seq from 13081 to 13084
Skipped Seq from 13084 to 13086
Skipped Seq from 13086 to 13088
Skipped Seq from 13090 to 13093
Skipped Seq from 13094 to 13098
Skipped Seq from 13100 to 13102
Skipped Seq from 13102 to 13106
Skipped Seq from 13106 to 13110
Skipped Seq from 13110 to 13118
Skipped Seq from 13122 to 13128
Skipped Seq from 13129 to 13131
Skipped Seq from 13131 to 13134
Skipped Seq from 13134 to 13138
Skipped Seq from 13138 to 13142
Skipped Seq from 13142 to 13144
Skipped Seq from 13147 to 13149
Skipped Seq from 13149 to 13151
Skipped Seq from 13151 to 13153
Skipped Seq from 13154 to 13158
Skipped Seq from 13159 to 13161
Skipped Seq from 13163 to 13165
Skipped Seq from 13170 to 13172
Skipped Seq from 13173 to 13184
Skipped Seq from 13185 to 13187
Skipped Seq from 13187 to 13189
Skipped Seq from 13189 to 13193
Skipped Seq from 13195 to 13201
Skipped Seq from 13201 to 13203
Skipped Seq from 13204 to 13210
Skipped Seq from 13210 to 13216
