Starting client at 10.0.0.22:1238 with timeout:10
My IP address is 10.0.0.22Skipped Seq from 5 to 8
Recovered out of order packet from 15 to 6
Recovered out of order packet from 15 to 7
Skipped Seq from 13284 to 13286
Skipped Seq from 13286 to 13290
Skipped Seq from 13290 to 13293
Skipped Seq from 13295 to 13297
Skipped Seq from 13297 to 13299
Skipped Seq from 13299 to 13304
Skipped Seq from 13305 to 13307
Skipped Seq from 13307 to 13311
Skipped Seq from 13314 to 13316
Skipped Seq from 13320 to 13322
Skipped Seq from 13322 to 13324
Skipped Seq from 13324 to 13326
Skipped Seq from 13327 to 13329
Skipped Seq from 13331 to 13334
Skipped Seq from 13334 to 13339
Skipped Seq from 13339 to 13341
Skipped Seq from 13341 to 13343
Skipped Seq from 13343 to 13347
Skipped Seq from 13350 to 13355
Skipped Seq from 13355 to 13360
Skipped Seq from 13360 to 13366
Skipped Seq from 13366 to 13372
Skipped Seq from 13374 to 13376
Skipped Seq from 13387 to 13389
Skipped Seq from 13389 to 13396
Skipped Seq from 13397 to 13399
Skipped Seq from 13400 to 13402
Skipped Seq from 13402 to 13404
Skipped Seq from 13404 to 13406
Skipped Seq from 13407 to 13410
Skipped Seq from 13410 to 13414
Skipped Seq from 13414 to 13417
Skipped Seq from 13417 to 13419
Skipped Seq from 13420 to 13422
Skipped Seq from 13423 to 13426
Skipped Seq from 13430 to 13433
Skipped Seq from 13439 to 13441
Skipped Seq from 13443 to 13445
Skipped Seq from 13445 to 13451
Skipped Seq from 13451 to 13457
Skipped Seq from 13457 to 13462
Skipped Seq from 13462 to 13466
Skipped Seq from 13466 to 13468
Skipped Seq from 13468 to 13475
Skipped Seq from 13480 to 13482
Skipped Seq from 13485 to 13487
Skipped Seq from 13488 to 13492
Skipped Seq from 13492 to 13495
Skipped Seq from 13496 to 13498
Skipped Seq from 13506 to 13509
Skipped Seq from 13515 to 13517
Skipped Seq from 13517 to 13519
Skipped Seq from 13525 to 13529
Skipped Seq from 13529 to 13531
Skipped Seq from 13531 to 13534
Skipped Seq from 13535 to 13537
Skipped Seq from 13538 to 13540
Skipped Seq from 13542 to 13544
Skipped Seq from 13544 to 13549
Skipped Seq from 13549 to 13551
Skipped Seq from 13552 to 13555
Skipped Seq from 13556 to 13558
Skipped Seq from 13559 to 13561
Skipped Seq from 13561 to 13563
Skipped Seq from 13563 to 13565
Skipped Seq from 13567 to 13570
Skipped Seq from 13574 to 13576
Skipped Seq from 13577 to 13579
Skipped Seq from 13579 to 13582
Skipped Seq from 13582 to 13585
Skipped Seq from 13585 to 13588
Skipped Seq from 13588 to 13591
Skipped Seq from 13591 to 13599
Skipped Seq from 13599 to 13603
Skipped Seq from 13603 to 13607
Skipped Seq from 13615 to 13622
Skipped Seq from 13622 to 13631
Skipped Seq from 13631 to 13639
Skipped Seq from 13639 to 13646
Skipped Seq from 13646 to 13657
Skipped Seq from 13657 to 13661
Skipped Seq from 13661 to 13669
Skipped Seq from 13669 to 13677
Skipped Seq from 13677 to 13680
Skipped Seq from 13683 to 13690
Skipped Seq from 13690 to 13699
Skipped Seq from 13699 to 13709
Skipped Seq from 13709 to 13711
Skipped Seq from 13711 to 13713
Skipped Seq from 13713 to 13715
Skipped Seq from 13715 to 13717
Skipped Seq from 13717 to 13719
Skipped Seq from 13721 to 13723
Skipped Seq from 13724 to 13726
Skipped Seq from 13727 to 13729
Skipped Seq from 13731 to 13733
Skipped Seq from 13734 to 13738
Skipped Seq from 13739 to 13741
Skipped Seq from 13743 to 13745
Skipped Seq from 13747 to 13749
Skipped Seq from 13749 to 13752
Skipped Seq from 13752 to 13755
Skipped Seq from 13755 to 13758
Skipped Seq from 13758 to 13760
Skipped Seq from 13760 to 13767
Skipped Seq from 13768 to 13771
Skipped Seq from 13771 to 13774
Skipped Seq from 13774 to 13776
Skipped Seq from 13777 to 13779
Skipped Seq from 13781 to 13783
Skipped Seq from 13784 to 13786
Skipped Seq from 13786 to 13790
Skipped Seq from 13791 to 13794
Skipped Seq from 13794 to 13798
Skipped Seq from 13798 to 13802
Skipped Seq from 13803 to 13808
Skipped Seq from 13808 to 13811
Skipped Seq from 13811 to 13813
Skipped Seq from 13813 to 13815
Skipped Seq from 13822 to 13825
Skipped Seq from 13827 to 13829
Skipped Seq from 13829 to 13833
Skipped Seq from 13833 to 13837
Skipped Seq from 13837 to 13839
Skipped Seq from 13839 to 13841
Skipped Seq from 13841 to 13844
Skipped Seq from 13844 to 13846
Skipped Seq from 13847 to 13849
Skipped Seq from 13849 to 13852
Skipped Seq from 13852 to 13855
Skipped Seq from 13855 to 13861
Skipped Seq from 13861 to 13863
Skipped Seq from 13863 to 13867
Skipped Seq from 13869 to 13871
Skipped Seq from 13871 to 13873
Skipped Seq from 13875 to 13877
Skipped Seq from 13880 to 13882
Skipped Seq from 13892 to 13894
Skipped Seq from 13895 to 13899
Skipped Seq from 13899 to 13902
Skipped Seq from 13903 to 13905
Skipped Seq from 13906 to 13908
Skipped Seq from 13908 to 13913
Skipped Seq from 13913 to 13915
Skipped Seq from 13917 to 13925
Skipped Seq from 13926 to 13929
Skipped Seq from 13929 to 13933
Skipped Seq from 13933 to 13936
Skipped Seq from 13937 to 13939
Skipped Seq from 13940 to 13948
Skipped Seq from 13948 to 13951
Skipped Seq from 13951 to 13954
Skipped Seq from 13956 to 13958
Skipped Seq from 13962 to 13964
Skipped Seq from 13964 to 13966
Skipped Seq from 13971 to 13974
Skipped Seq from 13974 to 13977
Skipped Seq from 13978 to 13980
Skipped Seq from 13980 to 13983
Skipped Seq from 13983 to 13986
Skipped Seq from 13987 to 13989
Skipped Seq from 13990 to 13992
Skipped Seq from 13994 to 13996
Skipped Seq from 13999 to 14001
Skipped Seq from 14003 to 14005
Skipped Seq from 14006 to 14008
Skipped Seq from 14010 to 14012
Skipped Seq from 14017 to 14019
Skipped Seq from 14021 to 14024
Skipped Seq from 14024 to 14026
Skipped Seq from 14026 to 14028
Skipped Seq from 14028 to 14030
Skipped Seq from 14030 to 14036
Skipped Seq from 14036 to 14042
Skipped Seq from 14042 to 14047
Skipped Seq from 14047 to 14049
Skipped Seq from 14050 to 14053
Skipped Seq from 14053 to 14059
Skipped Seq from 14059 to 14064
Skipped Seq from 14065 to 14067
Skipped Seq from 14069 to 14073
Skipped Seq from 14074 to 14078
Skipped Seq from 14078 to 14082
Skipped Seq from 14082 to 14091
Skipped Seq from 14091 to 14094
Skipped Seq from 14094 to 14097
Skipped Seq from 14102 to 14104
Skipped Seq from 14104 to 14106
Skipped Seq from 14107 to 14112
Skipped Seq from 14113 to 14115
Skipped Seq from 14115 to 14117
Skipped Seq from 14118 to 14120
Skipped Seq from 14123 to 14127
Skipped Seq from 14128 to 14130
Skipped Seq from 14131 to 14133
Skipped Seq from 14134 to 14136
Skipped Seq from 14141 to 14143
Skipped Seq from 14150 to 14152
Skipped Seq from 14152 to 14155
Skipped Seq from 14155 to 14159
Skipped Seq from 14159 to 14163
Skipped Seq from 14163 to 14165
Skipped Seq from 14165 to 14167
Skipped Seq from 14169 to 14171
Skipped Seq from 14173 to 14175
Skipped Seq from 14177 to 14179
Skipped Seq from 14182 to 14184
Skipped Seq from 14189 to 14191
Skipped Seq from 14191 to 14196
Skipped Seq from 14196 to 14204
Skipped Seq from 14204 to 14206
Skipped Seq from 14206 to 14209
Skipped Seq from 14209 to 14213
Skipped Seq from 14213 to 14217
Skipped Seq from 14219 to 14221
Skipped Seq from 14224 to 14227
Skipped Seq from 14227 to 14231
Skipped Seq from 14232 to 14234
Skipped Seq from 14235 to 14240
Skipped Seq from 14244 to 14246
Skipped Seq from 14250 to 14255
Skipped Seq from 14255 to 14257
Skipped Seq from 14257 to 14259
Skipped Seq from 14261 to 14263
Skipped Seq from 14264 to 14267
Skipped Seq from 14268 to 14273
