Starting client at 10.0.0.21:1235 with timeout:10
My IP address is 10.0.0.21Skipped Seq from 21471 to 21473
Skipped Seq from 21479 to 21481
Skipped Seq from 21503 to 21505
Skipped Seq from 21505 to 21507
Skipped Seq from 21528 to 21530
Skipped Seq from 21536 to 21538
Skipped Seq from 21555 to 21557
Skipped Seq from 21565 to 21567
Skipped Seq from 21574 to 21576
Skipped Seq from 21587 to 21589
Skipped Seq from 21621 to 21623
Skipped Seq from 21624 to 21626
Skipped Seq from 21633 to 21635
Skipped Seq from 21637 to 21639
Skipped Seq from 21665 to 21667
Skipped Seq from 21670 to 21672
Skipped Seq from 21676 to 21678
Skipped Seq from 21679 to 21682
Skipped Seq from 21706 to 21708
Skipped Seq from 21756 to 21758
Skipped Seq from 21773 to 21775
Skipped Seq from 21777 to 21779
Skipped Seq from 21787 to 21789
Skipped Seq from 21791 to 21793
Skipped Seq from 21847 to 21864
Skipped Seq from 21864 to 21869
Skipped Seq from 21873 to 21875
Skipped Seq from 21884 to 21886
Skipped Seq from 21920 to 21924
Skipped Seq from 21997 to 22000
Skipped Seq from 22053 to 22055
Skipped Seq from 22063 to 22067
Skipped Seq from 22067 to 22071
Skipped Seq from 22071 to 22073
Skipped Seq from 22073 to 22076
Skipped Seq from 22081 to 22083
Skipped Seq from 22087 to 22089
Skipped Seq from 22109 to 22111
Skipped Seq from 22112 to 22114
Skipped Seq from 22144 to 22146
Skipped Seq from 22152 to 22154
Skipped Seq from 22155 to 22157
Skipped Seq from 22158 to 22160
Skipped Seq from 22174 to 22176
Skipped Seq from 22196 to 22198
Skipped Seq from 22211 to 22214
Skipped Seq from 22216 to 22218
Skipped Seq from 22219 to 22221
Skipped Seq from 22222 to 22224
Skipped Seq from 22225 to 22230
Skipped Seq from 22231 to 22238
Skipped Seq from 22238 to 22240
Skipped Seq from 22262 to 22264
Skipped Seq from 22272 to 22275
Skipped Seq from 22292 to 22294
Skipped Seq from 22307 to 22309
Skipped Seq from 22311 to 22314
Skipped Seq from 22316 to 22318
Skipped Seq from 22320 to 22323
Skipped Seq from 22327 to 22329
Skipped Seq from 22329 to 22332
Skipped Seq from 22333 to 22338
Skipped Seq from 22340 to 22343
Skipped Seq from 22349 to 22351
Skipped Seq from 22357 to 22364
Skipped Seq from 22364 to 22366
Skipped Seq from 22368 to 22370
Skipped Seq from 22374 to 22376
Skipped Seq from 22376 to 22379
Skipped Seq from 22379 to 22385
Skipped Seq from 22385 to 22387
Skipped Seq from 22387 to 22390
Skipped Seq from 22390 to 22392
Skipped Seq from 22392 to 22394
Skipped Seq from 22394 to 22397
Skipped Seq from 22397 to 22399
Skipped Seq from 22399 to 22401
Skipped Seq from 22401 to 22405
Skipped Seq from 22405 to 22408
Skipped Seq from 22408 to 22411
Skipped Seq from 22411 to 22417
Skipped Seq from 22417 to 22425
Skipped Seq from 22425 to 22427
Skipped Seq from 22427 to 22430
Skipped Seq from 22431 to 22434
Skipped Seq from 22437 to 22439
Skipped Seq from 22441 to 22443
Skipped Seq from 22443 to 22449
Skipped Seq from 22450 to 22454
Skipped Seq from 22454 to 22458
Skipped Seq from 22458 to 22461
Skipped Seq from 22467 to 22470
Skipped Seq from 22474 to 22476
Skipped Seq from 22482 to 22484
Skipped Seq from 22487 to 22489
Skipped Seq from 22494 to 22496
Skipped Seq from 22501 to 22503
Skipped Seq from 22505 to 22507
Skipped Seq from 22507 to 22510
Skipped Seq from 22511 to 22514
Skipped Seq from 22516 to 22518
Skipped Seq from 22519 to 22522
Skipped Seq from 22522 to 22525
Skipped Seq from 22527 to 22529
Skipped Seq from 22532 to 22534
Skipped Seq from 22537 to 22539
Skipped Seq from 22539 to 22542
Skipped Seq from 22543 to 22546
Skipped Seq from 22546 to 22548
Skipped Seq from 22554 to 22559
Skipped Seq from 22560 to 22564
Skipped Seq from 22565 to 22569
Skipped Seq from 22570 to 22574
Skipped Seq from 22575 to 22581
Skipped Seq from 22581 to 22585
Skipped Seq from 22587 to 22589
Skipped Seq from 22589 to 22591
Skipped Seq from 22592 to 22594
Skipped Seq from 22595 to 22599
Skipped Seq from 22600 to 22603
Skipped Seq from 22603 to 22607
Skipped Seq from 22607 to 22609
Skipped Seq from 22609 to 22614
Skipped Seq from 22614 to 22616
Skipped Seq from 22616 to 22621
Skipped Seq from 22621 to 22624
Skipped Seq from 22625 to 22629
Skipped Seq from 22629 to 22631
